>AA|ECRITURE IMMO|19 430 336 301,00|19 430 336 301,00
16415200|Emp.BEI MARS. 2003|0,00|3 750 000 000,00
16415300|Emp.BEI DEC 2004|0,00|10 000 000 000,00
16415400|Emp.BEI DEC 2005|0,00|7 875 445 561,00
16415500|Emp.BEI DEC 2006|0,00|2 205 882 376,50
16415600|Emp.BEI JUIN 2007|0,00|9 843 750 000,00
16415700|Emp.BEI NOV 2008|0,00|10 937 500 000,00
16415900|Emp.Bq-.Part à -1 an|0,00|2 563 931 200,00
16431000|Billets de Trésoreri|1 050 000 000,00|1 050 000 000,00
16611200|Emp.FCP10 MF1/12/95|60 979 607,00|60 979 607,00
16611300|Emp.FCP  8 MF1/12/96|60 979 607,00|60 979 607,00
16611400|Emp.FCP10 MF1/07/97|76 224 508,50|76 224 508,50
16611500|Emp.FCP  6 MF1/07/98|45 734 705,00|45 734 705,00
16611600|Emp.FCP  5 MF1/10/98|38 112 254,50|38 112 254,50
16611700|Emp.FCP  5 MF1/10/99|45 734 700,00|45 734 700,00
16611800|Emp.FCP 1,5Me 5/14|75 000 000,00|75 000 000,00
16611900|Emp.FCP 26,25Me 5/13|0,00|1 256 250 000,00
16612460|Emp.FCP.2,5Me 12/09|63 000 000,00|0,00
16612470|Emp.FCP.1,26Me 04/09|0,00|63 000 000,00
16612485|Emp.FCP.1,11Me 05/11|0,00|55 500 000,00
16612486|Emp.FCP.1,14ME 05/12|0,00|57 000 000,00
16752000|Créanc.Collec.Locale|636 474 647,00|636 474 647,00
16752099|CréancColl.Locale CT|0,00|31 823 729,50
16884100|Int/Emp.Avril1990TrB|21 137 358,00|21 137 358,00
16884200|Int/Emp.Avril1990TrC|25 312 770,00|25 312 770,00
16884300|Int/Emp.Mars 1991|464 221 180,00|464 221 180,00
16884400|Int/Emp.Avril 1992|280 836 168,00|280 836 168,00
16884500|Int/Emp.Mars 1993|469 208 838,50|469 208 838,50
16884600|Int/Emp.Nov. 1995|483 660 170,00|483 660 170,00
16884700|Int/Emp.Juillet 1996|977 010 250,50|977 010 250,50
16884800|Int/Emp.Nov. 1997|790 225 430,50|790 225 430,50
16884900|Int/Emp.Nov. 1999|385 860 898,50|385 860 898,50
16884910|Int/Emp.oct. 2001|0,00|338 013 750,00
16884912|Int/SWAP-10/01-12330|77 394 349,50|0,00
16884920|Int/Emp.BEI 03/2002|0,00|899 111,00
16884930|Int/Emp.BEI 12/2002|0,00|223 287,00
16884939|Int/SWAP.BEI 03/2003|141 838 424,00|0,00
16884940|Int/Emp.BEI 03/2003|0,00|145 520 833,50
16884941|Int/Emp.BEI 12/2004|0,00|2 568 889,00
16884942|Int/Emp.BEI 12/2005|0,00|28 935 827,00
16884943|Int/Emp.BEI 12/2006|0,00|4 569 934,50
16884944|Int/Emp.BEI 06/2007|0,00|235 060 000,00
16884945|Int/Emp.BEI 11/2008|0,00|7 748 698,00
16884950|Int/Emp. avril 2003|0,00|1 061 506 800,00
16884951|Int/SWAP-04/03-SG510|337 840 616,50|0,00
16884952|Int/SWAP-04/03-BNP|337 753 116,50|0,00
16884953|Int/SWAP-04/03-SG555|340 465 616,50|0,00
16884954|Int/SWAP-04/03-CLY31|0,00|296 795 685,00
16884955|Int/SWAP-04/03-BNP75|0,00|296 775 582,00
16884956|Int/SWAP-04/03-NAT8N|0,00|289 108 904,00
16884959|Int/SWAP Avril 2010|426 333 133,50|0,00
16884960|Int/Emp. mai 2006|0,00|1 672 602 745,00
16884964|INT S/ SWAP-07/10-SG|281 344 311,00|0,00
16884990|ICNE Crédit Syndiqué|0,00|4 046 875,00
16886200|Int/Emp.FCP Déc.1995|3 195 016,50|3 195 016,50
16886300|Int/Emp.FCP Déc.1996|3 032 271,00|3 032 271,00
16886400|Int/Emp.FCP Juillet|5 998 764,50|5 998 764,50
16886500|Int/emp.FCP Juillet|3 148 177,50|3 148 177,50
16886600|Int/Emp.FCP Oct.1998|2 137 940,50|2 137 940,50
16886700|Int/Emp.FCP Avril 99|855 176,50|855 176,50
16886800|Int/E.FCP 1,5Me 5/14|4 207 192,00|4 207 192,00
16886900|Int/Emp.FCP 05 2013|0,00|32 473 183,00
16887470|Int/Emp.FCP 04/2009|0,00|2 373 285,50
16887485|Int/Emp.FCP 05/2011|0,00|1 642 189,50
16887486|Int/Emp.FCP 05/2012|0,00|1 795 112,50
20000000|Immo. Incorp. DP|3 803 603,00|0,00
20520000|Logiciel DP - L 1 an|179 209 609,50|0,00
20521000|Logiciel DP - L 7 an|560 914 159,00|0,00
20521100|Logiciel SAP Gest|63 020 811,50|0,00
20521200|Logiciel SAP Paie|12 804 742,00|0,00
21000099|CPTE reprise immo|190 915 067 633,50|190 915 067 633,50
21111000|Terrains DP|60 604 023,50|0,00
21810000|Bat. Inst. Agen.DP|368 566 242,00|0,00
21830000|Mat. divers DP|3 991 155,50|0,00
21831000|Mat.informa. DP|140 656 983,00|0,00
21831100|Mat.Bur. -Hist. - DP|789 209,00|0,00
21831110|Prest. Inf -Hist.-DP|113 044 162,50|0,00
21831120|Prest. Inf -Hist.-DP|152 765 665,00|0,00
21831130|Otharie -Hist. - DP|164 443 506,50|0,00
21831140|NDF -Hist. - DP|40 665 707,50|0,00
21840000|Mob. Bureau DP|45 881 721,00|0,00
21870000|Mat. exploit. DP|8 858 143,50|0,00
21881000|Logiciel A19 DP|129 298 263,50|0,00
21882000|Mat. Exploit A19 DP|51 419 793,50|0,00
21883000|Mob. Mat. Bur A19 DP|2 068 008,00|0,00
21884000|Mat. Roulant A19 DP|51 739 430,50|0,00
21885000|Informatique A19 DP|18 564 369,50|0,00
21886000|Agencement A19 DP|15 765 924,00|0,00
22501000|Terrains DC -En serv|3 875 375 298,50|0,00
22501010|Terrains DC -ES A86|503 370 877,00|0,00
22502000|Frs annexes - ES - D|1 879 752 754,50|0,00
22502010|Frs An - ES - DC A86|33 695 224,00|0,00
22502500|Concession ES- Dévia|1 478 755 467,00|0,00
22503000|Concession ES - BNR|251 159 659 815,00|0,00
22503010|Conces ES-BNR A86|83 062 353 746,00|0,00
22503110|BR Incorp Stat° Epur|260 804 438,00|0,00
22503120|BR Incorp glissières|25 801 636,50|0,00
22503130|BR Incorp clôt. Port|349 192 256,00|0,00
22503140|BR Incorp Signal pol|1 201 890 772,50|0,00
22503150|BR Incorp réseau app|474 407 919,50|0,00
22503160|BR Incorp réseaux|2 791 233 327,50|0,00
22503170|BR Incorp Rés FO|569 734 887,50|0,00
22503180|BR Incorp Ecla. Publ|299 773 696,50|0,00
22503190|BR Incorp Plantation|60 609 558,50|0,00
22503200|BR Incorp protect ph|15 114 359,00|0,00
22504000|Bat. Inst. Agen.DC|5 890 639 462,00|0,00
22504100|Bat. Inst. Div. DC|207 971 386,00|0,00
22504200|Bat. Inst. Aires Rep|1 439 378 615,00|0,00
22504300|Bat. Inst. Centre|2 298 407 403,00|0,00
22504400|Bat. Inst. Gares Péa|2 995 038 040,50|0,00
22504500|Bat. Inst. E.C.|59 470 461,50|0,00
22505000|Ouvrage DC|867 020 361,00|0,00
22505200|Eclairage Public|149 100,00|0,00
22505300|Glissières de Sécu|115 000,00|0,00
22505500|Signalist° Verticale|1 048 291 700,50|0,00
22505600|Signalétique Co|592 677 900,00|0,00
22505900|Pylones|278 717 072,50|0,00
22506000|Mat. Exploit. DC|3 596 013 580,50|0,00
22507000|Mat. Divers DC|955 492 743,00|0,00
22507100|Mat. Expl. Divers|483 243 035,00|0,00
22507200|Mat. de Péage|1 608 210 543,50|0,00
22507210|Bornes Entrées|2 066 906 636,50|0,00
22507300|Mat. Viab/Sécur|361 501 426,00|0,00
22507400|Mat. Electrique|71 542 567,50|0,00
22507500|Mat. Elect. Vidéo|1 304 608 864,50|0,00
22507600|Mat. Atelier|54 166 074,00|0,00
22507700|Mat. Radio Télép|777 649 090,50|0,00
22507800|Equip. de la Route|821 881 937,00|0,00
22508000|Mob. Bureau DC|70 872 424,50|0,00
22508100|Mat. Mob. de Bureau|41 544 728,00|0,00
22508200|Mat. Mob. E.C.|144 968 819,00|0,00
22509000|Mat.informa. DC|206 433 189,50|0,00
22509010|Serveurs Hist. DC|170 339 328,00|0,00
22509020|Réseaux Inf Hist. DC|105 917 397,50|0,00
22509030|Bureautique Hist. DC|19 495 535,00|0,00
22509040|Prest. Info Hist. DC|86 890 975,00|0,00
22509100|Mat. Bureautique|93 629 756,50|0,00
22509200|Mat. informatique|694 104 303,50|0,00
22509220|Mat. info. NSP|63 476 007,50|0,00
22509230|Mat. info. MAGIC|75 002 750,00|0,00
22509240|Mat. info. SDT|150 247 696,00|0,00
22509250|Mat. info. ACTIV|5 853 302,50|0,00
22510000|Logiciel DC|44 331 687,50|0,00
22510101|Logiciel NSP|2 202 414,00|0,00
22510102|Logiciel MAGIC|7 541 323,50|0,00
22510103|Logiciel SDT|1 211 900,00|0,00
22510201|Prestation NSP|170 477 241,50|0,00
22510202|Prestation MAGIC|467 025 149,00|0,00
22510203|Prestation SDT|156 825 988,50|0,00
22510204|Prestation LIBER-T|287 799 748,00|0,00
22511000|Logiciel DC|284 827 241,50|0,00
22511200|Logiciel Péage|722 666 876,50|0,00
22511300|Logiciel Act° Ciale|79 423 234,00|0,00
22511400|Autres Log. Exploit.|2 714 114 803,50|0,00
22511500|Logiciel Gest° Bur.|20 951 412,00|0,00
22512000|Véhi.tourisme DC|436 800,00|0,00
22512100|Véhicules Tourism.|7 664 634,50|0,00
22513000|Véhi.util.léger- DC|15 699 708,00|0,00
22514000|Véhi.util.PL - DC|551 614 842,50|0,00
22514100|Mat. de Transport|41 786 050,00|0,00
22514200|Remorques|163 896 003,50|0,00
22514300|Véhi. de Salage|301 984 746,00|0,00
22514400|Véhi. Utilitaires|609 057 082,00|0,00
22515000|Concession ES- F.div|55 356 987,00|0,00
22516000|Concession ES -F. co|386 813 665,00|0,00
22518000|Concession ES - frai|5 160 099 417,50|0,00
22519000|Concession ES - II|40 522 010 009,50|0,00
23100000|IMMOS en cours DP|44 073 861,50|0,00
23120000|Terrains DC -En cour|173 453 359,00|0,00
23121000|Frs annexes en cours|87 769 046,50|0,00
23130000|Concession EC/BNR|6 042 095 852,00|0,00
23150000|BR en cours DC|2 258 400 025,50|0,00
23199998|ACOMPTE IMMO|0,00|60 130 966,50
26111000|Cofiroute participat|103 664 827,50|0,00
26112000|Act. Mediamobile|28 584 076,00|28 584 076,00
26112100|Act. SONORA|3 811,00|3 811,00
26112200|Act. SERA|952 806,00|952 806,00
26112300|Part. Toll col.Gmbh|2 325 250 000,00|0,00
26112310|Cap. Toll col.Gmbh|25 000 000,00|0,00
26112500|Act. auto-trafic GIE|2 150 000,00|0,00
26112600|Actions ISS|28 552,00|0,00
27411000|SAFER du Centre|135 578 776,00|135 578 776,00
27511000|Dép.Cau.Loy.avance|2 270 917,50|1 109 667,50
27511100|Dép.Caut.EDF GDF|143 651,50|143 651,50
27511200|Dép.Caut.Téléphone|307 836,50|307 836,50
27511300|Dép.Caut.Cie.Eaux|10 183,50|10 183,50
27511400|Dép.Caut.cles|152 449,50|152 449,50
27512000|Dép.Ct.Ct. GOBTP|11 410 046,50|11 410 046,50
28000099|Rep. Amortissements|11 720 309 290,00|11 720 309 290,00
28020000|Amts logiciel DP - L|0,00|1 010 233 639,00
28080000|Amts log A19 DP - L|0,00|75 536 470,50
28110000|Amts bat.inst. Agenc|0,00|31 221 617,50
28130000|Amts matériel divers|0,00|2 321 502,00
28131000|Amts Mat. Info DP|0,00|52 044 728,50
28140000|Amts mob.de bureau D|0,00|4 190 084,00
28170000|Amts Mat. Exploit. D|0,00|7 332 364,50
28180000|Amts Mat. Exp. A19 D|0,00|62 508 069,50
28203000|Amts BR Incorp|0,00|5 466 018 469,00
28204000|Amts bat.inst. Agenc|0,00|7 298 595 990,00
28205000|Amts ouvrage DC|0,00|1 880 529 118,00
28206000|Amts Mat.exploi. DC|0,00|7 689 157 323,50
28207000|Amts matériel divers|0,00|944 190 155,50
28208000|Amts mob. de bureau|0,00|222 751 078,50
28209000|Amts Mat. Info. DC|0,00|1 288 629 081,00
28210000|Amts logiciel DC - L|0,00|3 488 365 496,50
28212000|Amts véh. tourisme D|0,00|8 094 584,00
28213000|Amts véh.ut.légers D|0,00|590 027 579,00
28214000|Amts véh. Ut. et PL|0,00|549 030 521,00
28215000|Amort. caducité|0,00|136 420 190 728,50
29181000|Dép.Im.corporelles|0,00|5 105 638,00
29182000|Dép.Im.corporelles|0,00|11 838 797,00
29611000|Prov.dép.immo.financ|0,00|2 350 250 000,00
32110000|Stoc.Chlor.et sels|88 405 150,50|0,00
32110099|ESTIME Stoc.Chl.&sel|0,00|61 155 345,00
32210000|Stoc.Prod.pétrol.Sec|27 095 598,00|0,00
32210099|ESTIME Stoc.PDTS PET|0,00|12 940 331,50
32230000|Stoc.P.Rech.mat.rolt|699 096,50|699 096,50
32230100|Stoc.P.Rech.mat.pég.|8 685 742,50|8 685 742,50
32230900|Stoc.Autr.Pièc.Rech.|2 599 979,50|2 599 979,50
32240000|Stoc.imprimés péage|1 513 078,50|1 513 078,50
32240800|Stoc.Vêtemts.Travail|6 892 851,00|6 892 851,00
32240900|Stoc.Autr.impr.explt|621 153,00|621 153,00
32260000|Stoc.signalisation|9 164 049,50|9 164 049,50
39211000|Pr.dép.Stk.mat.conso|6 688 910,50|6 688 910,50
39223000|Pr.dép.stk.CGA.|5 162 806,00|5 162 806,00
39999999|REPRISE STOCK|129 805 346,50|129 805 346,50
40111000|Fournisseurs|588 307 923,50|600 525 622,00
40111099|Reprise Fournisseurs|3,00|3,00
40411000|Fournisseurs Immo.|0,00|509 679 104,00
40810000|FAR Charges HG|0,00|772 100 213,00
40810100|FAR Charges Groupe|0,00|312 671 507,00
40811000|FAR- EM/EF|299 402,00|0,00
40841000|PROVISION SUR FAR|0,00|129 093 624,50
40841110|FAR Immos HG|0,00|941 561 332,00
40841120|FAR Immos Groupe|0,00|583 819 397,50
40911000|Avanc.& Acpte./Comde|66 194 660,50|0,00
41111000|Clients Abonnés|44 827 502,00|11 096 902,50
41111099|Reprise Clts Abonnés|27 106,50|27 106,50
41111100|Clients  TIS-PL|862 571 595,00|0,00
41112000|Clts Abt Contentieux|14 538 794,50|591 092,50
41113000|Dépôt garant.Dourdan|5 963 762,00|5 963 762,00
41113100|Dépôt  Cautions clés|2 508 820,50|2 485 095,50
41113200|Dépôt  Cautions AA|0,00|900 000,00
41113400|Dépôt  Cautions IDF|0,00|3 050 000,00
41113500|Dépôt  Caution MAINE|0,00|2 975 000,00
41113600|Dépôt  Cautions SVL|0,00|2 375 000,00
41113700|Dépôts Cautions TP|0,00|4 950 000,00
41115000|Clients Autres|549 242 280,00|6 241 449,00
41115099|Reprise Clts Autres|1,50|1,50
41611000|Clts.Douteux Abonnés|111 499 193,00|771 427,50
41812000|Factures à établir|3 000 853 451,50|0,00
41911000|Dépts.Garant.Abonnés|5 510 654,50|352 330 324,00
41911099|Dépts.Garant.Abonnés|12 188,00|12 188,00
41911200|DG Liber't TOTAL|0,00|520 350,00
42111000|Rémunérations dues|1 281 477 242,50|1 281 477 242,50
42211000|Comité d'Entreprise|24 427 043,50|24 427 043,50
42411000|Participat. Salariés|1 192 754,50|1 192 754,50
42511000|Pers:Notes de frais|25 000,00|236 775,50
42515000|compte annulé|4 500 287,00|4 500 287,00
42515099|Reprise :cpte nul|0,00|0,00
42515100|compte annulé|2 999 273,00|2 999 273,00
42515199|compte annulé|0,50|0,50
42516000|Indemnités IJSS|31 528 855,50|31 528 855,50
42516100|Indemnités RETRAITE|369 199,50|369 199,50
42522000|Pers:Av.permanen.NPU|1 533 310,00|1 533 310,00
42522100|Pers:Ac. S/Salaires|15 909 815,50|15 909 815,50
42522200|Pers:Sal.Débiteurs|5 133 577,50|5 133 577,50
42523000|Pers:Prêts|1 613 025,00|1 613 025,00
42524100|Pers:Frs.Tp.RATP CI|268 503,00|268 503,00
42525100|Indemnités IJSS|0,00|2 590 489,50
42525200|Acomptes sur salaire|154 518,00|0,00
42525300|Salaires débiteurs|1 558 821,00|0,00
42525400|Prêts au personnel|545 500,00|0,00
42525500|Avance permanente|1 559 650,00|0,00
42611000|Plan d'Epargne|58 158 052,00|46 061 044,00
42711000|Pers:Oppositions|1 631 521,50|1 631 521,50
42820000|Prov.repos comp.|52 817 583,00|60 803 251,00
42821000|Prov.Congés payés|1 740 579 412,50|2 072 937 594,00
42823000|Prov.CET|69 579 410,50|123 841 149,00
42841000|Prov.participat.Sal.|0,00|345 361 744,00
42842000|Intéressement .Sal.|0,00|44 990 669,00
43111000|URSSAF (Sté.Sle.)|617 251 803,00|788 576 563,00
43711000|REUNICA|28 404 301,50|113 654 336,00
43721000|CRICA-APEC|42 188 519,50|42 188 519,50
43731000|PREVOYANCE COURCELLE|19 102 786,00|57 486 082,00
43732000|MUTEX|31 419 246,50|31 461 142,50
43734000|CAPRICAS|2 856,00|2 856,00
43741100|C.F.E.|766 289,50|766 289,50
43751000|ASSEDIC|52 688 513,50|52 688 513,50
43771000|FONGECIF|2 178 625,00|2 178 625,00
43772000|Garanties Décès|762 245,00|909 545,00
43781000|ANCV Chèq.Vacances|0,00|7 820 900,00
43782000|RATP|1 618 074,00|1 618 074,00
43820000|Charges Sles.s/R.P..|24 824 273,50|28 577 537,50
43821000|Charges Sles.s/C.P.|817 132 880,00|973 341 232,00
43823000|Charges Sles.s/CET|32 702 329,50|58 205 347,50
43824000|Charges Sles.s/Cats|0,00|6 962 382,00
43861000|Ch.à Pay.Taxe Appr.|0,00|25 651 943,50
43862000|Ch.à Pay.Format.Prof|0,00|52 619 286,00
43863000|Ch.à Pay.Eff.Constr.|8 014 983,00|22 753 207,00
43864000|Ch.à Pay.Organic|0,00|116 923 815,00
43868000|Autr.Ch.Sles.à payer|280 403,50|79 280 403,50
44311000|Cr./Etat déc.1 mois|22 296 036,00|22 296 036,00
44412000|CH.A PAYER IS|0,00|46 881 450,00
44415000|Impôt s/Bénéfices|1 114 382 832,50|1 686 625 082,50
44415100|Impôts différés|0,00|5 515 872 935,50
44562000|TVA s/enc. s/Immo 19|65 950 151,00|0,00
44562020|TVA s/immo.19,60%|4 011 129,50|4 011 129,50
44562099|Rep. TVA enc.immo.19|0,50|0,50
44566002|TVA Biens/Serv.(2,10|3 238,00|3 238,00
44566005|TVA Biens/Serv.(5,50|187 916,00|187 916,00
44566019|TVA Biens/Serv.(19,6|33 912 532,50|33 912 532,50
44566100|TVA S/enc. 19,60%.|27 065 226,00|0,00
44566105|TVA S/enc. 5.50%.|3 180,50|0,00
44566107|TVA S/enc. 7%.|79 682,00|0,00
44567000|Crédit TVA à report.|1 385 764 084,00|1 385 764 084,00
44571018|TVA coll.19,60 Péag.|2 790 836 660,00|2 790 750 969,00
44571019|TVA coll.19,60|12 095 289,00|12 095 289,00
44571022|TVA coll.s/enc. 7,00|0,00|43 307,50
44571028|TVA coll.s/enc 19,60|0,00|4 385 050,00
44571029|TVA coll.s/enc. 19,6|0,00|68 114 549,00
44571100|TVA coll.s/enc TISPL|0,00|142 068 228,50
44586050|TVA//sur FAR|448 665 613,50|0,00
44587000|TVA/Fact.à établir|0,00|485 151 586,50
44711000|Ret.à la source Etr.|10 245 699,50|10 245 699,50
44732000|Taxe Prof./CET|142 919 132,50|146 148 632,50
44732600|Taxe TLE|0,00|1 379 750,00
44733000|Redev.domaniales|869 234 279,00|869 234 279,00
44741000|Taxes/véh. Société|0,00|3 250 000,00
44751000|Redev./Empr.gar. LT|2 289 350,00|2 289 350,00
44861000|Etat : TVA à payer|0,00|1 067 947 973,00
45101000|Cofiroute participat|6 105,50|80 455 585,00
45102000|S.P.T.F.|116 820,50|1 740 804,00
45103000|Cofiroute corporat.|112 685 130,50|112 685 130,50
45104000|Médiamobile|3 239 656,00|3 239 656,00
45108000|CC Vinci Autoroutes|11 234 190 762,00|0,00
45701000|Dividendes à payer|6 677 112 730,00|853 910,00
46201000|Créances/cess.Immo.|3 892 640,50|3 892 640,50
46701100|S.C.A.O.|6 030 380,00|6 030 380,00
46701200|S.O.C.A.S.O.|2 877 326,00|2 877 326,00
46701300|AVANCES TRAVAUX|216 783,00|216 783,00
46701400|Opération partenart.|950 173,00|950 173,00
46702000|A.S.F. Abonnements|855 064 961,50|855 064 961,50
46702010|ARCOUR CISA|0,00|2 060 245,00
46702200|A.S.F. Péages|116 921 705,00|116 921 705,00
46702300|S.A.P.R.R. Péages|727 288,00|727 288,00
46702500|Cart.Accr.:DKV|85 021 671,50|85 021 671,50
46702510|Cart.Accr.:TOTAL|251 000 128,50|251 000 128,50
46702520|Cart.Accr.:UTA|24 728 940,50|24 728 940,50
46702530|Cart.Accr.:ELF ANTAR|90 474 463,00|90 474 463,00
46702540|Cart.Accr.:ESSO|28 464 023,00|28 464 023,00
46702550|Cart.Accr.:SHELL|91 999 825,50|91 999 825,50
46702560|Cart.Accr.:AM.EXPR.|49 636 358,00|49 636 358,00
46702599|Cartes accréditeurs|100 808 339,00|0,00
46702666|SCA PARTAGES|0,00|15 910 080,00
46702777|Clients Partages|24 572 965,00|0,00
46703400|Liber'T-Transv.Poit|40 293,50|0,00
46703500|Liber'T-Trans.Rétro.|353 252,50|1 408 378,00
46703600|Liber'T-cartes TOTAL|2 985,00|0,00
46703610|Liber'T-cartes S2P|0,00|4 350,00
46704000|Liber'T-AREA Rétro.|4 091 487,00|4 091 487,00
46704100|Liber'T-ASF   Rétro.|10 732 441,50|10 732 441,50
46704200|Liber'T-ATMB Rétro.|601 648,00|601 648,00
46704300|Liber'T-ESCOTA Rétro|1 295 477,50|1 295 477,50
46704400|Liber'T-SANEF Rétro.|112 167 642,00|112 167 642,00
46704500|Liber'T-SAPN  Rétro.|38 294 016,00|38 294 016,00
46704600|Liber'T-SAPRR Rétro.|6 059 032,50|6 059 032,50
46704700|Liber'T-SPTRF Rétro.|210 143,50|210 143,50
46704977|Clients Rétrocession|0,00|3 468 400,00
46705000|Liber'T-COFI Fact.VP|4 890,00|0,00
46705800|Liber'T-ATLANDE fact|800,00|0,00
46705900|Liber'T-ALIS Factur.|4 015,00|0,00
46706000|Liber'T-AREA Factur.|926 009,50|923 139,50
46706100|Liber'T-ASF Factur.|9 117 139,00|9 055 654,00
46706200|Liber'T-ATMB Factur.|273 048,00|269 483,00
46706300|Liber'T-ESCOTA Fact.|579 252,00|553 977,00
46706400|Liber'T-SANEF Fact.|3 850 192,00|3 833 322,00
46706500|Liber'T-SAPN Fact.|1 416 229,00|1 403 429,00
46706600|Liber'T-SAPRR Fact.|6 081 877,50|6 055 077,50
46706700|Liber'T-SPTRF Fact.|50 516,00|49 731,00
46706800|Liber'T-MILLAU FACT|1 925,00|0,00
46706910|Liber'T-ALICOR Fact.|760,00|0,00
46706920|Liber'T-ALIENOR Fact|4 220,00|0,00
46707000|Liber'T-ARCOUR Fact.|10 790,00|0,00
46709100|Projet MARTA|8 075 801,00|8 075 801,00
46709200|Kredietbank|122 847,00|122 847,00
46709300|Opération Mexique|60 221,50|60 221,50
46709400|UNEDIC - CATS|0,00|28 143 846,00
46711000|Débiteurs divers|1 731 961,00|0,00
46751000|Créditeurs divers|863 913,00|863 913,00
46861000|Charges à payer 2006|32 901 775,50|32 901 775,50
46861100|Charges à payer -|0,00|508 100 241,00
47511100|Divers assurance|0,00|63 293,50
47721100|Ecart convers.Passif|10 532 916,00|10 532 916,00
47801000|Intégr.Fisc.Cofipart|617 533,00|617 533,00
48601000|Charg.const.d'avance|1 054 573 204,00|0,00
48602000|Ch.Financ.const.av.|475 169 147,00|0,00
48701000|Prod.constat.avance|0,00|421 829 584,00
48702000|Prod.Financ.const.av|0,00|817 249 725,00
48801000|Compte  d' attente|19 839 497,50|19 839 497,50
49102010|Prov.clients douteux|0,00|119 637 084,50
49671000|Prov.dépréc.Coficorp|112 685 130,50|112 685 130,50
49672000|Prov.dépréc.Mediamob|3 239 541,50|3 239 541,50
50311000|Actions-Titres côtés|221 600 944,00|221 600 944,00
50811100|Autres Val. mobilièr|561 607 293,00|0,00
50811200|COMPTE DEPOT A T. IG|10 033 867 166,50|0,00
51110610|V.E.-Sté.Gén. A86|1 295 640,00|0,00
51110621|V.E.-Sté.Gén.Bourges|6 526 038,50|0,00
51110630|V.E.-Sté.Gén.Chartre|2 826 535,00|0,00
51110670|V.E.-Sté.Gén.Le Mans|36 220,00|0,00
51110675|V.E.-Sté.Gén.Nantes|225,00|0,00
51110680|V.E.-Sté.Gén.Orléans|2 445 905,00|0,00
51110682|V.E.-Sté.Gén.Poitier|109 870,00|0,00
51110690|V.E.-Sté.Gén.Tours|1 360 450,00|0,00
51115613|A/V.dev.Sté.Gl.Ange.|2 750,00|0,00
51115621|A/V.dev.Sté.Gl.Bour.|3 350,00|0,00
51115670|A/V.dev.Sté.Gl.Mans|8 300,00|0,00
51115675|A/V.dev.Sté.Gl.Nant.|16 800,00|0,00
51115680|A/V.dev.Sté.Gl.Orl.|5 000,00|0,00
51115690|A/V.dev.Sté.Gl.Tours|0,00|3 746,50
51120100|R.C.-BNP-PAR.Kléber|0,00|23 920,00
51120101|R.C.-BNP-PAR.Klé- RC|0,00|1 085 103,00
51120613|R.C.-Sté.Gén.Angers|3 965,00|0,00
51120621|R.C.-Sté.Gén.Bourg.|232 105,00|0,00
51120630|R.C.-Sté.Gén.Chartr.|19 309,00|0,00
51120670|R.C.-Sté.Gén.LeMans|126 815,00|0,00
51120675|R.C.-Sté.Gén.Nantes|72 325,00|0,00
51120680|R.C.-Sté.Gén.Orléans|196 965,00|0,00
51120690|R.C.-Sté.Gén.Tours|11 020,00|0,00
51125100|C.P.-BNP-PAR.Kléber|0,00|2 487 427,50
51125600|C.P.-S.G.Paris|0,00|15 487,00
51125712|CHQ PAYE BNP NANTES|0,00|32 312,00
51125750|CHQ PAYE BNP LE MANS|0,00|124 718,50
51125780|CHQ PAYE BNP ORLEANS|0,00|821 394,50
51125785|C.P.-S.G.Ramb.Accr.|0,00|592 407,50
51125790|CHQ PAYE BNP TOURS|0,00|201 425,50
51125791|CHQ PAYE BNP RUEIL|639 270,50|0,00
51130601|Pr.émis.-S.G. CIA|1 719 848,50|0,00
51140600|Vir.-S.G. Paris|0,00|597 048,50
51140690|Vir.-S.G. Tours|0,00|525 512,50
51146100|Tr.Etr.-BNP Kléber|0,00|25 040,00
51199600|Cpte attente RC - SG|0,00|519 494,00
51211100|BNP Kléber|59 969 693,50|0,00
51211210|CALYON|3 702 570,50|0,00
51211300|H.S.B.C. Cpt Courant|9 720 771,50|8 773 538,00
51211301|CCF.Paris Ct.Titres|762,00|0,00
51211400|Crédit Mutuel Paris|220 572 840,00|215 124 591,50
51211600|Sociét.Gle.Paris|286 174 261,50|204 214 688,50
51211700|NBP|3 185 200,50|0,00
51212120|BNP Blois|87 580,50|87 580,50
51212130|BNP Chartres|11 197,00|11 197,00
51212140|BNP Chatellerault|18 189,00|18 189,00
51212150|BNP La Ferté Bernard|306,00|306,00
51212160|BNP Laval|14 753,50|14 753,50
51212170|BNP Le Mans|2 388,50|2 388,50
51212180|BNP Orléans|147 334,50|147 334,50
51212190|BNP Tours|90 736,50|90 736,50
51212680|Sociét.Gale.Orléans|0,00|2 766 665,00
51241000|Sociét.Gale.(GBP)|402,00|402,00
51401000|CCP n°1173111 B 020|9 032 212,00|8 657 212,00
53110100|Caisse Sèvres D1|25 404,00|25 404,00
53110200|Caisse Sèvres C1|26 108,50|26 108,50
53110300|Caisse Sèvres C2|1 544 281,50|1 544 281,50
53110400|Caisse Sèvres A1|16 788,00|16 788,00
53201100|Caisse  A86|19 975,00|0,00
53201110|Caisse Ablis|33 566,50|845,50
53201112|Caisse Ancenis|12 125,50|10 898,50
53201120|Caisse Blois|15 244,50|10 234,00
53201130|Caisse Chartres|16 540,50|16 540,50
